productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,totalSales,colors,date,category
2107115,모드나인,Black Stardust - MOD1w,77700,42,130,0,48,0,35000,black,2024120220,pants
3852647,에이치덱스,자이언트핏 매쉬 와이드 팬츠,41400,40,129,43,49,0,5300,,2024120220,pants
2744549,어널러코드,사계절 쓰리턱 트레이닝팬츠 (2color),28000,50,285,56,50,0,83000,,2024120220,pants
732703,그라미치,루즈테이퍼드 팬츠 Olive,77400,40,76,0,51,0,15000,,2024120220,pants
4319523,토피,카펜터 퍼티그 워크 코튼 팬츠 (SAND GREY),29500,50,273,52,52,0,4000,grey,2024120220,pants
4381625,스켈리웩,스윙 벌룬핏 데님[블랙],47900,27,278,0,53,0,3400,블랙,2024120220,pants
2762709,무신사 스탠다드 우먼,우먼즈 기모 릴렉스드 라운지 스웨트 팬츠 [블랙],22690,40,309,52,54,0,11000,블랙,2024120220,pants
3690588,시그니처,[최종우X시그니처]소프트 헤비 코듀로이 원턱 밴딩 팬츠[차콜],29900,50,191,0,55,0,4900,차콜,2024120220,pants
2724802,파르티멘토 우먼,와이드 스웻팬츠_멜란지,28630,30,177,32,56,0,5200,,2024120220,pants
2279194,꼼파뇨,벌룬 와이드 코듀로이 팬츠 다크브라운,39900,57,178,33,57,0,7200,브라운,2024120220,pants
3054701,인템포무드,레이지보이 벌룬 핏 데님_딥블루,67900,30,276,39,58,0,12000,블루,2024120220,pants
4072132,디스펑트,DYSFUNCT KEY RING WASHING DENIM PANTS,29900,60,167,35,59,0,14000,,2024120220,pants
3902778,스탠다드에러,87-STAN047 벌룬핏 워싱 와이드 데님팬츠 빈티지 블랙,24800,54,390,43,60,0,6700,블랙,2024120220,pants
2724692,파르티멘토 우먼,와이드 스웻팬츠_블랙,28630,30,120,34,61,0,7300,블랙,2024120220,pants
1168922,무신사 스탠다드,리얼 와이드 히든 밴딩 슬랙스 [블랙],37290,15,21,0,62,0,85000,블랙,2024120220,pants
3124490,트릴리온,프론트 워싱 와이드 데님 팬츠 (YELLOW BLACK),23900,55,269,40,63,0,43000,black,2024120220,pants
4360670,리트리버클럽,LIL DEVIL DENIM [INDIGO BLACK],43120,56,380,36,64,0,2000,black,2024120220,pants
1552753,브랜디드,1967 JET BLACK JEANS [WIDE STRAIGHT],63600,35,52,0,65,0,110000,black,2024120220,pants
4330245,코드그라피,카펜터 트레이닝 팬츠_차콜,39900,32,47,0,66,0,5700,차콜,2024120220,pants
3576618,위캔더스,DWARF DENIM PANTS (BLACK),83400,40,104,0,67,0,6300,black,2024120220,pants
4308176,디미트리블랙,바이오워싱 와이드 카펜터 데님 팬츠_더스트블랙,21900,51,325,54,68,0,5400,블랙,2024120220,pants
2513018,어프레쉬,에어스트레치 조거팬츠_블랙 트레이닝,19900,67,122,45,69,0,16000,블랙,2024120220,pants
3443300,라이크더모스트,트레이닝 핀턱 와이드 팬츠 5colors,22310,63,244,71,70,0,64000,,2024120220,pants
1735427,에스이에스티,[2PACK] 와이드핏 트레이닝 스웨트 팬츠 - 6Color,32900,63,71,0,71,0,62000,,2024120220,pants
4293708,수아레,울 블렌드 원 턱 슬랙스 - 3 COLOR,47900,36,148,0,72,0,2900,,2024120220,pants
4342152,엑스컨테이너,원턱 와이드 코듀로이 팬츠 (BROWN),33000,40,309,46,73,0,2200,brown,2024120220,pants
2711142,트릴리온,바이오스톤 워싱 와이드 데님 팬츠 (CREAM),24500,55,122,41,74,0,36000,,2024120220,pants
4274042,리메인세컨드,빈티지 캣워싱 와이드 데님 팬츠 [다크 블루],34800,20,322,0,75,0,4000,블루,2024120220,pants
2183795,굿라이프웍스,에센셜 세미 와이드 코듀로이 팬츠 크림,27400,45,182,0,76,0,39000,,2024120220,pants
3525289,와르,[-6cm 숏버전 추가] M210 더티 오일 워싱 데님_진청,31900,73,145,0,77,0,4900,,2024120220,pants
4229168,무신사 스탠다드 우먼,[힛탠다드] 우먼즈 헤비웨이트 속기모 딥 턱 와이드 슬랙스 [블랙],29890,40,839,58,78,0,2100,블랙,2024120220,pants
2441622,에이치덱스,액티브 팬츠,32400,45,68,0,79,0,8400,,2024120220,pants
1627892,무신사 스탠다드,레플리카 퍼티그 팬츠 [카키],39490,10,97,0,80,0,57000,,2024120220,pants
3054704,인템포무드,레이지보이 벌룬 핏 데님_페이디드블루,67900,30,153,0,81,0,8800,블루,2024120220,pants
1581262,무신사 스탠다드 우먼,우먼즈 와이드 코듀로이 팬츠 [크림],30990,35,287,0,82,0,4300,,2024120220,pants
3206724,낫포너드,Extra Wide Balloon Pants - Black,50400,43,127,0,83,0,8100,black,2024120220,pants
4076299,리메인세컨드,[논기모 OR 기모] 원턱 와이드 스웨트 팬츠_3COLOR,19800,22,181,0,84,0,6900,,2024120220,pants
2150457,포트너스,Two Tuck Wide Black Jeans,73140,54,28,0,85,0,17000,black,2024120220,pants
2833222,모드나인,Sunny Subway - MOD1w,70380,49,34,0,86,0,7900,,2024120220,pants
2119984,드로우핏,와이드 밴딩 치노 팬츠 [BEIGE],39600,40,159,0,87,0,29000,,2024120220,pants
1253200,브론슨,1942 US Army Chino Trousers Khaki,101970,15,61,0,88,0,4900,,2024120220,pants
3791990,필루미네이트,데미지 워시드 데님 팬츠-블랙,24500,54,342,31,89,0,10000,블랙,2024120220,pants
3139359,트릴리온,(기모추가) 딥 턱 벌룬핏 스웨트 조거 팬츠 (BLACK),19900,48,66,41,90,0,10000,black,2024120220,pants
3684419,디키즈,더블니 85283 루즈핏 워크팬츠 Black,71300,5,67,0,91,0,9800,black,2024120220,pants
2107114,모드나인,Turn me On Black - MOD1w,81000,40,61,0,92,0,11000,black,2024120220,pants
2028326,무신사 스탠다드,스트레이트 데님 팬츠 [크림],25990,48,108,34,93,0,49000,,2024120220,pants
3439044,토피,[기모 선택] 더블 사이드 라인 트랙 버티컬 팬츠 (DARK NAVY),31900,50,152,0,94,0,5200,navy,2024120220,pants
2351467,트릴리온,바이오스톤 워싱 와이드 데님 팬츠 (BLUE GRAY),24500,55,103,0,95,0,61000,blue,2024120220,pants
4539005,바운더리,(기모) 투턱 와이드 롱 스웨트 팬츠 2color,29900,77,246,55,96,0,2600,,2024120220,pants
3404705,무신사 스탠다드,시티 레저 CN 와이드 벨티드 파라슈트 팬츠 [블랙],51090,20,87,0,97,0,11000,블랙,2024120220,pants
4431870,오피쉬,"와이드 레오파드 팬츠, 챠콜",58860,46,376,34,98,0,1100,,2024120220,pants
2307746,무신사 스탠다드,원 턱 와이드 라운지 스웨트 팬츠 [미디엄 그레이],34690,15,21,0,99,0,36000,그레이,2024120220,pants
3316989,토피,[2PACK] 와이드 데님 팬츠,48900,50,80,0,100,0,26000,,2024120220,pants
1224095,무신사 스탠다드,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],23890,40,85,0,101,0,93000,그레이,2024120220,pants
732698,그라미치,팬츠 Olive,71400,40,50,0,102,0,5500,,2024120220,pants
1666442,무신사 스탠다드,와이드 데님 팬츠 [라이트 인디고],27290,45,125,0,103,0,57000,,2024120220,pants
4308206,디미트리블랙,VLAD 라운드 슬래쉬 데님 팬츠_더스트 인디고,22900,49,233,40,104,0,3400,,2024120220,pants
