productId,date,views,likes,rating,ratingCount,totalSales
4326444,2024120120,2800.0,25000,,,
4627421,2024120120,40000.0,19000,4.8,390.0,
4295729,2024120120,4100.0,25000,5.0,1.0,
4480372,2024120120,1400.0,31000,,,
4291574,2024120120,6800.0,30000,,,
4247854,2024120120,1300.0,25000,,,
4369865,2024120120,3200.0,30000,5.0,3.0,
4421720,2024120120,1200.0,11000,,,
4320105,2024120120,2000.0,30000,5.0,1.0,
4543168,2024120120,14000.0,24000,5.0,35.0,
4436643,2024120120,20000.0,130000,4.9,107.0,
4310308,2024120120,5700.0,14000,4.8,81.0,
4393606,2024120120,6000.0,220000,4.8,48.0,
4194189,2024120120,2200.0,38000,,,
4295727,2024120120,2200.0,25000,,,
4443546,2024120120,2000.0,11000,,,
4237516,2024120120,700.0,20000,,,
4578953,2024120120,10000.0,16000,,,
4513357,2024120120,900.0,31000,,,
4568530,2024120120,30000.0,240000,4.9,25.0,
4341128,2024120120,5800.0,30000,4.7,3.0,
4297122,2024120120,15000.0,6700,4.7,104.0,
4419238,2024120120,3300.0,6400,4.0,1.0,
4567406,2024120120,150.0,37000,,,
4291573,2024120120,1700.0,30000,,,
4386197,2024120120,30000.0,15000,4.7,69.0,
4244539,2024120120,1400.0,41,4.8,8.0,
4576547,2024120120,150.0,3000,,,
4295693,2024120120,2000.0,25000,5.0,5.0,
4116026,2024120120,20000.0,290000,4.9,97.0,
4270711,2024120120,30000.0,71000,4.9,124.0,1200.0
4383272,2024120120,5800.0,240000,5.0,11.0,
4279764,2024120120,5100.0,280000,4.9,36.0,
4442556,2024120120,4700.0,10000,5.0,5.0,
4568535,2024120120,20000.0,240000,5.0,24.0,
4271270,2024120120,30000.0,71000,4.7,193.0,2200.0
4436726,2024120120,12000.0,130000,5.0,86.0,
4585313,2024120120,6200.0,39000,5.0,2.0,
4397202,2024120120,17000.0,31000,4.7,12.0,
4295700,2024120120,800.0,25000,,,
4194192,2024120120,700.0,38000,5.0,1.0,
4292557,2024120120,4500.0,6700,4.8,101.0,
4450394,2024120120,5000.0,691,4.8,5.0,
4518216,2024120120,2900.0,44000,5.0,3.0,
4443959,2024120120,15000.0,21000,4.8,16.0,
4363903,2024120120,9800.0,51000,4.8,62.0,
4451420,2024120120,5900.0,39000,,,
4507080,2024120120,550.0,280000,,,
4448501,2024120120,2100.0,6700,5.0,6.0,
4457826,2024120120,12000.0,46000,4.8,19.0,
4462349,2024120120,8800.0,79000,5.0,1.0,
4215291,2024120120,1600.0,4000,5.0,1.0,
4214409,2024120120,10000.0,200000,4.9,172.0,
4280533,2024120120,7600.0,29000,4.9,98.0,
4228322,2024120120,9400.0,46000,4.8,194.0,
4619335,2024120120,9300.0,45000,,,
4441825,2024120120,750.0,350000,4.5,2.0,
4240781,2024120120,5800.0,39000,5.0,2.0,
4310310,2024120120,15000.0,14000,4.9,133.0,
4460066,2024120120,20000.0,455,4.9,17.0,
4606720,2024120120,1300.0,26000,,,
4133296,2024120120,1000.0,17000,5.0,13.0,
4341135,2024120120,2200.0,30000,4.0,3.0,
4354516,2024120120,20000.0,46000,4.7,48.0,
4366045,2024120120,9100.0,41000,5.0,1.0,
4215243,2024120120,450.0,25000,5.0,2.0,
4359320,2024120120,20000.0,98000,4.7,22.0,
4391145,2024120120,11000.0,22000,4.9,51.0,
4568543,2024120120,4900.0,240000,5.0,2.0,
4406383,2024120120,20000.0,45000,4.9,31.0,
4235560,2024120120,5100.0,29000,4.8,40.0,
4169651,2024120120,2400.0,29000,4.8,31.0,
4400856,2024120120,40000.0,45000,4.6,88.0,1000.0
4337480,2024120120,,17000,,,
4295705,2024120120,1600.0,25000,,,
4193865,2024120120,,5700,,,
4424996,2024120120,10000.0,190000,4.9,49.0,
4295704,2024120120,5900.0,25000,5.0,2.0,
4329130,2024120120,1500.0,28000,4.9,9.0,
4398725,2024120120,2400.0,25000,,,
4249945,2024120120,1300.0,39000,5.0,3.0,
4515567,2024120120,1700.0,46000,5.0,4.0,
4302828,2024120120,1600.0,20000,,,
4194288,2024120120,550.0,7100,,,
4424875,2024120120,4300.0,46000,5.0,4.0,
4543169,2024120120,10000.0,24000,4.9,24.0,
4249712,2024120120,8100.0,95000,4.9,12.0,
4257783,2024120120,7600.0,39000,4.9,10.0,
4515642,2024120120,19000.0,46000,5.0,8.0,
4170158,2024120120,4700.0,39000,4.9,146.0,
4379977,2024120120,30000.0,110000,4.8,82.0,
4406461,2024120120,1700.0,240000,,,
4322258,2024120120,1300.0,130000,5.0,4.0,
4397232,2024120120,5400.0,25000,5.0,2.0,
4244409,2024120120,2200.0,41,4.8,4.0,
4533583,2024120120,3100.0,30000,,,
4214623,2024120120,1000.0,17000,5.0,3.0,
4249682,2024120120,13000.0,95000,4.8,76.0,
4409949,2024120120,1500.0,79000,,,
4457438,2024120120,7400.0,660000,4.7,65.0,
4270163,2024120120,2100.0,25000,5.0,1.0,
4246461,2024120120,350.0,4200,,,
4247172,2024120120,1700.0,85000,4.9,20.0,
4237599,2024120120,3800.0,39000,5.0,5.0,
4312106,2024120120,2700.0,130000,5.0,8.0,
4327628,2024120120,1600.0,9600,5.0,6.0,
4279763,2024120120,3800.0,280000,4.9,18.0,
4285323,2024120120,7400.0,120000,4.8,28.0,
4409657,2024120120,1300.0,37000,,,
4296435,2024120120,1900.0,25000,,,
4291467,2024120120,2100.0,31000,5.0,5.0,
4243206,2024120120,30000.0,46000,4.9,289.0,1500.0
4470949,2024120120,11000.0,130000,4.5,14.0,
4353679,2024120120,11000.0,46000,5.0,3.0,
4442855,2024120120,1500.0,190000,,,
4435657,2024120120,4500.0,39000,,,
4619337,2024120120,5300.0,45000,5.0,1.0,
4594222,2024120120,1400.0,59000,,,
4397208,2024120120,2800.0,31000,4.6,8.0,
