productId,date,views,likes,rating,ratingCount,totalSales
4529877,2024120120,30000,751.0,4.6,11.0,1600
4215463,2024120120,15000,21000.0,4.9,29.0,0
4494180,2024120120,510000,360000.0,4.6,199.0,6800
4513350,2024120120,8100,18000.0,5.0,2.0,0
4549021,2024120120,13000,27000.0,5.0,25.0,0
4474051,2024120120,170000,28000.0,4.9,754.0,14000
4466475,2024120120,3800,1500.0,5.0,1.0,0
4559233,2024120120,3700,8600.0,4.9,73.0,0
4550110,2024120120,180000,16000.0,4.7,1566.0,19000
4538291,2024120120,300,44.0,,,0
4614918,2024120120,7600,18000.0,5.0,4.0,0
4354515,2024120120,7800,49.0,,,0
4633344,2024120120,80000,160000.0,4.9,23.0,1500
4517917,2024120120,650,367.0,4.9,25.0,0
4465581,2024120120,14000,751.0,4.7,3.0,0
4381994,2024120120,8200,28000.0,4.9,32.0,0
4312868,2024120120,70000,160000.0,4.8,102.0,2300
4577301,2024120120,10000,221.0,5.0,6.0,0
4440732,2024120120,5200,27000.0,4.9,17.0,0
4520675,2024120120,40000,200000.0,4.9,137.0,1800
4479876,2024120120,550,1400.0,,,0
4488529,2024120120,80000,97000.0,4.8,232.0,3400
4574352,2024120120,17000,200000.0,5.0,10.0,0
4466467,2024120120,0,1800.0,,,0
4249905,2024120120,11000,39000.0,4.9,13.0,0
4309121,2024120120,5800,1400.0,5.0,1.0,0
4504879,2024120120,1100,6700.0,4.8,35.0,0
4631630,2024120120,50000,45000.0,4.7,86.0,1700
4488510,2024120120,8900,27000.0,4.9,60.0,0
4543065,2024120120,950,18000.0,,,0
4636676,2024120120,120000,41000.0,4.8,345.0,4800
4291662,2024120120,2400,12000.0,5.0,2.0,0
4208150,2024120120,4300,4700.0,5.0,3.0,0
4192493,2024120120,40000,47000.0,4.7,84.0,1400
4479860,2024120120,1500,4700.0,,,0
4488514,2024120120,40000,41000.0,4.9,131.0,1800
4432168,2024120120,200,482.0,,,0
4532260,2024120120,90000,100000.0,4.8,63.0,1100
4548497,2024120120,350,1400.0,5.0,1.0,0
4506464,2024120120,200,5300.0,5.0,1.0,0
4381966,2024120120,20000,42000.0,5.0,22.0,0
4418613,2024120120,3500,15000.0,4.9,19.0,0
4489903,2024120120,4600,12000.0,5.0,10.0,0
4563599,2024120120,4000,120.0,4.9,47.0,0
4440730,2024120120,40000,35000.0,4.9,54.0,1000
4570253,2024120120,150,9600.0,,,0
4403020,2024120120,2600,1500.0,5.0,1.0,0
4512629,2024120120,60000,110000.0,4.9,78.0,1100
4453050,2024120120,250,21000.0,5.0,6.0,0
4477513,2024120120,2600,18000.0,,,0
4351487,2024120120,15000,39000.0,4.9,18.0,0
4500523,2024120120,0,4500.0,,,0
4480397,2024120120,20000,13000.0,5.0,14.0,0
4454700,2024120120,0,4100.0,,,0
4500516,2024120120,0,36.0,,,0
4607161,2024120120,40000,66000.0,4.8,117.0,2100
4538298,2024120120,2500,6400.0,4.7,46.0,0
4503422,2024120120,950,4700.0,,,0
4492408,2024120120,20000,85000.0,5.0,70.0,1000
4488412,2024120120,1100,27000.0,4.7,3.0,0
4531258,2024120120,1100,4700.0,5.0,1.0,0
4290152,2024120120,30000,21000.0,4.8,595.0,3700
4639878,2024120120,3700,4700.0,,,0
4551587,2024120120,300,1100.0,,,0
4418616,2024120120,30000,4600.0,5.0,2.0,0
4241924,2024120120,10000,15000.0,5.0,6.0,0
4249578,2024120120,5400,35.0,4.0,4.0,0
4277023,2024120120,60000,30000.0,4.8,182.0,2400
