productId,date,views,likes,rating,ratingCount,totalSales
4270193,2024120120,100000.0,18000,4.9,974.0,6800.0
4629918,2024120120,15000.0,65000,5.0,7.0,
4564862,2024120120,20000.0,45,4.8,76.0,1600.0
4265741,2024120120,40000.0,36000,4.1,2505.0,20000.0
3992824,2024120120,20000.0,24000,4.9,8221.0,3100.0
4199149,2024120120,30000.0,28000,4.8,967.0,5100.0
4187469,2024120120,50000.0,3700,4.9,3134.0,14000.0
4268814,2024120120,70000.0,13000,4.9,1716.0,9800.0
4566395,2024120120,11000.0,29000,4.8,51.0,1700.0
4249737,2024120120,5200.0,34000,4.9,73.0,
4187568,2024120120,30000.0,3700,4.9,2429.0,12000.0
4254208,2024120120,30000.0,71000,4.8,424.0,2700.0
4280679,2024120120,20000.0,15000,4.8,305.0,2700.0
4378228,2024120120,8400.0,15000,4.8,66.0,
4153116,2024120120,17000.0,46000,4.9,660.0,3300.0
4565729,2024120120,17000.0,46000,,,
4237906,2024120120,20000.0,46000,4.9,32.0,
4437931,2024120120,11000.0,52,4.8,6.0,1500.0
4566333,2024120120,5200.0,6200,5.0,10.0,
4615761,2024120120,6600.0,3700,4.8,31.0,
4259345,2024120120,5900.0,65000,4.8,31.0,
4388016,2024120120,13000.0,71000,4.8,127.0,1000.0
4570363,2024120120,200.0,13000,5.0,1.0,
4343576,2024120120,2300.0,3700,4.9,68.0,
4603602,2024120120,6200.0,75000,4.7,9.0,
4621811,2024120120,1000.0,36000,5.0,1.0,
4444149,2024120120,6600.0,60000,4.9,211.0,1000.0
4412765,2024120120,3700.0,249,4.9,158.0,
4423052,2024120120,2200.0,16000,4.9,41.0,
4147497,2024120120,800.0,60000,5.0,179.0,
4264751,2024120120,40000.0,42000,4.6,698.0,3600.0
4218799,2024120120,2600.0,64000,4.9,382.0,1000.0
4255489,2024120120,8600.0,2200,4.6,150.0,
4268742,2024120120,5100.0,36000,3.9,102.0,
4623100,2024120120,600.0,43,5.0,3.0,
4349436,2024120120,10000.0,24000,5.0,65.0,
4291760,2024120120,11000.0,27000,4.7,245.0,1700.0
4169164,2024120120,2800.0,52000,5.0,175.0,1600.0
4600232,2024120120,1000.0,37000,5.0,4.0,
4201464,2024120120,12000.0,56000,4.6,942.0,3600.0
4525980,2024120120,20000.0,8900,4.9,205.0,1500.0
4462322,2024120120,18000.0,67000,4.7,165.0,1500.0
4333927,2024120120,150.0,4,5.0,1.0,
4543710,2024120120,16000.0,49000,4.7,3.0,
4291281,2024120120,7200.0,48000,4.7,167.0,
4444182,2024120120,2000.0,60000,5.0,13.0,
4388018,2024120120,40000.0,71000,4.7,206.0,1600.0
4508698,2024120120,4500.0,16000,4.2,5.0,
