productId,productName,keywords
104239,클래식 슬립온 - (체커보드) 블랙:화이트 / VN000EYEBWW1,"['클래식', '슬립온', '체커보드', '블랙', '화이트']"
241111,cotton fatigue pants regular fit beige,"['cotton', 'fatigue', 'pants', 'regular', 'fit', 'beige']"
260755,솔리스트 캐시미어 코트 BLACK,"['솔리스트', '캐시미어', '코트', 'BLACK']"
311052,척테일러 올스타 블랙 옥스 M9166C,"['척테일러', '올스타', '블랙', '옥스']"
345889,[2PACK] 더블코튼 무지반팔  2PACK KHST1011,"['더블코튼', '무지반팔']"
396185,selvedge denim pants deep indigo,"['selvedge', 'denim', 'pants', 'deep', 'indigo']"
404474,(Renew Ver.) 베이직 긴팔티셔츠 4종 ( 5Color ),"['베이직', '긴팔티셔츠', '4종']"
451851,남성 팀버랜드 6인치 프리미엄 부츠 / 10061-713,"['남성', '팀버랜드', '6인치', '프리미엄', '부츠']"
452483,솔리드 무톤 자켓,"['솔리드', '무톤', '자켓']"
490093,올드스쿨 - (껌)블랙:화이트 /  VN0001R1GI61,"['올드스쿨', '껌', '블랙', '화이트']"
606312,브이넥 라이트 다운 베스트 [블랙],"['브이넥', '라이트', '다운', '베스트', '블랙']"
655610,프리미어 퓨어 캐시미어 히든 싱글 코트 [BLACK],"['프리미어', '퓨어', '캐시미어', '히든', '싱글', '코트']"
655833,[코튼100]소프트 베이직 터틀넥 니트 9 COLOR COOSKT006,"['코튼100', '소프트', '베이직', '터틀넥', '니트', 'COLOR']"
656046,에센셜 다운 자켓 BLACK,"['에센셜', '다운', '자켓', 'BLACK']"
659554,[세트]  하프 폴라 니트 티셔츠,"['세트', '하프', '폴라', '니트', '티셔츠']"
668822,MTR 오버핏 더블 롱 코트 (블랙),"['MTR', '오버핏', '더블', '롱', '코트', '블랙']"
685185,뉴탐페레 첼시 부츠 R17M077 (블랙),"['뉴탐페레', '첼시', '부츠', '블랙']"
728000,베이식 옥스포드 셔츠 [화이트],"['베이식', '옥스포드', '셔츠', '화이트']"
732698,팬츠 Olive,"['팬츠', 'Olive']"
732699,루즈테이퍼드 팬츠 Black,"['루즈테이퍼드', '팬츠', 'Black']"
732703,루즈테이퍼드 팬츠 Olive,"['루즈테이퍼드', '팬츠', 'Olive']"
750908,[기모 or 논기모] 유니섹스 세미 와이드 밴딩 슬랙스,"['기모', 'or', '논기모', '유니섹스', '세미', '와이드', '밴딩', '슬랙스']"
810033,척 70 클래식 블랙 162050C,"['척', '클래식', '블랙']"
810034,척 70 클래식  블랙 162058C,"['척', '클래식', '블랙']"
816033,올드스쿨 플랫폼 - 블랙:화이트 / VN0A3B3UY281,"['올드스쿨', '플랫폼', '블랙', '화이트']"
843276,퍼펙트 터틀넥 니트 티셔츠 블랙,"['퍼펙트', '터틀넥', '니트', '티셔츠', '블랙']"
854337,릴렉스 핏 옥스포드 셔츠 [화이트],"['릴렉스', '핏', '옥스포드', '셔츠', '화이트']"
865862,캐시미어 블렌드 오버사이즈 싱글 코트 [블랙],"['캐시미어', '블렌드', '오버사이즈', '싱글', '코트', '블랙']"
876277,[블랙]B-스테디 하프 폴라넥-블랙,"['블랙', 'B', '스테디', '하프', '폴라넥', '블랙']"
876284,[블랙]SET B-스테디 하프 폴라넥,"['블랙', 'SET', 'B', '스테디', '하프', '폴라넥']"
885715,프리미어 퓨어 캐시미어 로브 더블 코트 [BLACK],"['프리미어', '퓨어', '캐시미어', '로브', '더블', '코트']"
910127,마스터 구스다운 핑거글러브  숏패딩 -블랙-,"['마스터', '구스다운', '핑거글러브', '숏패딩', '블랙']"
912314,다운 푸퍼 숏 패딩 재킷 [블랙],"['다운', '푸퍼', '숏', '패딩', '재킷', '블랙']"
920520,클럽 팀 풋볼 벤치 롱 패딩 2color,"['클럽', '팀', '풋볼', '벤치', '롱', '패딩']"
947067,스웨트셔츠 [블랙],"['스웨트셔츠', '블랙']"
947088,후디드 스웨트 집업 [멜란지 그레이],"['후디드', '스웨트', '집업', '멜란지', '그레이']"
957758,컴피쿠시 올드스쿨 - (클래식) 블랙:트루 화이트/VN0A3WMAVNE1,"['컴피쿠시', '올드스쿨', '클래식', '블랙', '트루']"
983339,베이식 드레스 셔츠 [화이트],"['베이식', '드레스', '셔츠', '화이트']"
994588,옵티멀 베이직 셔츠-화이트[린넨＆옥스포드 선택],"['옵티멀', '베이직', '셔츠', '화이트', '린넨', '옥스포드', '선택']"
