productId,keywords
2338457,"하트,벌룬,스웻,셔츠3,colors"
2722805,"tag,og,hoodie,burgundy"
3475395,"기모버전추가시그니처,오버핏,맨투맨4col"
404474,"renew,ver,베이직,긴팔티셔츠,4종,5color,"
404474,"renew,ver,베이직,긴팔티셔츠,4종,5color,"
947067,"스웨트셔츠,블랙"
4328682,"헤어리,그래픽,로고,오버핏,자카드,니트,green"
2338457,"하트,벌룬,스웻,셔츠3,colors"
4288950,"기모선택,asi,포시즌,에센셜,피그먼트,후드,티셔츠차콜"
2226767,"오버사이즈,집업,카라,터틀넥,니트,5color"
2684358,"cropped,hairy,knit,grass,green"
3050501,"2pack,루즈핏,롱슬리브"
4328682,"헤어리,그래픽,로고,오버핏,자카드,니트,green"
4328682,"헤어리,그래픽,로고,오버핏,자카드,니트,green"
2226767,"오버사이즈,집업,카라,터틀넥,니트,5color"
3050501,"2pack,루즈핏,롱슬리브"
3050501,"2pack,루즈핏,롱슬리브"
404474,"renew,ver,베이직,긴팔티셔츠,4종,5color,"
2684358,"cropped,hairy,knit,grass,green"
2058188,"tag,og,hoodie,black"
2684358,"cropped,hairy,knit,grass,green"
2722805,"tag,og,hoodie,burgundy"
2194649,"카라,케이블,니트,집업,블랙"
2338457,"하트,벌룬,스웻,셔츠3,colors"
4584154,"소프트,헨리넥,라운드,긴팔,니트,베이지"
2109937,"피치스킨,벌룬오버,후드,블랙"
2109937,"피치스킨,벌룬오버,후드,블랙"
1615829,"로그,오버핏,기모,후드,그레이,yhhd2302"
2194649,"카라,케이블,니트,집업,블랙"
1615829,"로그,오버핏,기모,후드,그레이,yhhd2302"
2757451,"니티드x깡스타일리스트,코튼,미니멀,라운드,니트,2color"
3417709,"우먼즈,슬림,크루,넥,긴소매,티셔츠,화이트"
2692476,"남녀공용,릴렉스핏,모노그램,로고,후디,j327360,beh"
2058188,"tag,og,hoodie,black"
2194649,"카라,케이블,니트,집업,블랙"
2970542,"피치스킨,러스티,로고,스웨트셔츠,웜그레이"
4388024,"패션플래닛x더니트컴퍼니,워셔블,코튼,크루넥,니트,12color"
4481198,"set,세미,크롭,니트,라운드터틀넥"
2757451,"니티드x깡스타일리스트,코튼,미니멀,라운드,니트,2color"
3223007,",2pack,퓨어코튼,레이어드,체인,반팔티"
2970542,"피치스킨,러스티,로고,스웨트셔츠,웜그레이"
4265248,"그래피티,로고,후드티네이비"
854337,"릴렉스,핏,옥스포드,셔츠,화이트"
854337,"릴렉스,핏,옥스포드,셔츠,화이트"
1615829,"로그,오버핏,기모,후드,그레이,yhhd2302"
4388024,"패션플래닛x더니트컴퍼니,워셔블,코튼,크루넥,니트,12color"
2970541,"피치스킨,러스티,로고,스웨트셔츠,블랙"
4394773,"tag,hoodie,ash"
4265248,"그래피티,로고,후드티네이비"
2043056,"set,후드티,맨투맨,선택,cgp,아치,로고,셋업네이비"
3417709,"우먼즈,슬림,크루,넥,긴소매,티셔츠,화이트"
3223007,",2pack,퓨어코튼,레이어드,체인,반팔티"
4514674,"워셔블,노르딕,자카드,카라넥,2way,집업,니트,베이지"
2109937,"피치스킨,벌룬오버,후드,블랙"
3223007,",2pack,퓨어코튼,레이어드,체인,반팔티"
2043056,"set,후드티,맨투맨,선택,cgp,아치,로고,셋업네이비"
4265248,"그래피티,로고,후드티네이비"
2970541,"피치스킨,러스티,로고,스웨트셔츠,블랙"
4388024,"패션플래닛x더니트컴퍼니,워셔블,코튼,크루넥,니트,12color"
2043056,"set,후드티,맨투맨,선택,cgp,아치,로고,셋업네이비"
2058188,"tag,og,hoodie,black"
4481198,"set,세미,크롭,니트,라운드터틀넥"
2757451,"니티드x깡스타일리스트,코튼,미니멀,라운드,니트,2color"
854337,"릴렉스,핏,옥스포드,셔츠,화이트"
2970542,"피치스킨,러스티,로고,스웨트셔츠,웜그레이"
2692476,"남녀공용,릴렉스핏,모노그램,로고,후디,j327360,beh"
4467040,"레드,하트,로고,후드,블랙,bfusw235730001"
3539902,"에센셜,헤어리,라운드,니트핑크"
