productId,date,brandName,productName,colors,ranking,price,discountRate,totalSales,category,views,likes,rating,ratingCount,conversionRate,originalPrice,season
2723767,2024-12-04T20:00:00.000Z,수아레,데일리 라운드 니트 - 12 COLOR,,1,20250,55,150000,clothes_top,980000,120947,4.9,22458,0.15306122448979592,45000.00000000001,winter
2723767,2024-12-03T20:00:00.000Z,수아레,데일리 라운드 니트 - 12 COLOR,,1,20250,55,150000,clothes_top,940000,119739,4.9,22168,0.1595744680851064,45000.00000000001,winter
2723767,2024-12-02T20:00:00.000Z,수아레,데일리 라운드 니트 - 12 COLOR,,1,20250,55,150000,clothes_top,880000,118704,4.9,21930,0.17045454545454544,45000.00000000001,winter
4509977,2024-12-04T20:00:00.000Z,워크온바디오프,반폴라 세미 오버핏 모크넥 니트 [블랙],블랙,2,14850,55,19000,clothes_top,370000,18017,4.8,354,0.051351351351351354,33000.0,winter
2149254,2024-12-03T20:00:00.000Z,무신사 스탠다드,베이식 긴팔 티셔츠 2팩,,2,29990,21,340000,clothes_top,280000,111527,4.9,66200,1.2142857142857142,37962.02531645569,winter
2149254,2024-12-02T20:00:00.000Z,무신사 스탠다드,베이식 긴팔 티셔츠 2팩,,2,29990,21,340000,clothes_top,280000,111463,4.9,65951,1.2142857142857142,37962.02531645569,winter
4509977,2024-12-03T20:00:00.000Z,워크온바디오프,반폴라 세미 오버핏 모크넥 니트 [블랙],블랙,3,14850,55,18000,clothes_top,340000,17314,4.8,310,0.052941176470588235,33000.0,winter
2149254,2024-12-04T20:00:00.000Z,무신사 스탠다드,베이식 긴팔 티셔츠 2팩,,3,29990,21,340000,clothes_top,290000,111648,4.9,66459,1.1724137931034482,37962.02531645569,winter
4509977,2024-12-02T20:00:00.000Z,워크온바디오프,반폴라 세미 오버핏 모크넥 니트 [블랙],블랙,3,14850,55,16000,clothes_top,330000,16588,4.8,275,0.048484848484848485,33000.0,winter
1582356,2024-12-03T20:00:00.000Z,소버먼트,980G 피그먼트 맨투맨-챠콜-,,4,44300,54,110000,clothes_top,200000,82525,4.8,22548,0.55,96304.34782608696,winter
2086653,2024-12-02T20:00:00.000Z,무신사 스탠다드,레이어드 크루 넥 반팔 티셔츠_일반 기장 [화이트],화이트,4,15190,10,520000,clothes_top,120000,125200,4.9,67201,4.333333333333333,16877.777777777777,winter
1582356,2024-12-04T20:00:00.000Z,소버먼트,980G 피그먼트 맨투맨-챠콜-,,4,44300,54,110000,clothes_top,210000,82799,4.8,22567,0.5238095238095238,96304.34782608696,winter
1582356,2024-12-02T20:00:00.000Z,소버먼트,980G 피그먼트 맨투맨-챠콜-,,5,44300,54,110000,clothes_top,190000,82345,4.8,22525,0.5789473684210527,96304.34782608696,winter
2990516,2024-12-03T20:00:00.000Z,1989스탠다드,RV_OUR 1989 후드 (STHSTD-0004),,5,24500,67,83000,clothes_top,440000,98904,4.8,9528,0.18863636363636363,74242.42424242425,winter
2990516,2024-12-04T20:00:00.000Z,1989스탠다드,RV_OUR 1989 후드 (STHSTD-0004),,5,24500,67,85000,clothes_top,460000,99403,4.8,9650,0.18478260869565216,74242.42424242425,winter
2086653,2024-12-04T20:00:00.000Z,무신사 스탠다드,레이어드 크루 넥 반팔 티셔츠_일반 기장 [화이트],화이트,6,15190,10,520000,clothes_top,120000,125323,4.9,67355,4.333333333333333,16877.777777777777,winter
2086653,2024-12-03T20:00:00.000Z,무신사 스탠다드,레이어드 크루 넥 반팔 티셔츠_일반 기장 [화이트],화이트,6,15190,10,520000,clothes_top,120000,125251,4.9,67273,4.333333333333333,16877.777777777777,winter
2990516,2024-12-02T20:00:00.000Z,1989스탠다드,RV_OUR 1989 후드 (STHSTD-0004),,6,24500,67,81000,clothes_top,420000,98393,4.8,9448,0.19285714285714287,74242.42424242425,winter
4326536,2024-12-02T20:00:00.000Z,디미트리블랙,[기모선택] VLAD 컷오프 아플리케 후드 티셔츠_차콜,차콜,7,28500,43,13000,clothes_top,410000,36572,4.8,556,0.03170731707317073,49999.99999999999,winter
4326536,2024-12-04T20:00:00.000Z,디미트리블랙,[기모선택] VLAD 컷오프 아플리케 후드 티셔츠_차콜,차콜,7,28500,43,15000,clothes_top,440000,38048,4.8,601,0.03409090909090909,49999.99999999999,winter
4326536,2024-12-03T20:00:00.000Z,디미트리블랙,[기모선택] VLAD 컷오프 아플리케 후드 티셔츠_차콜,차콜,7,28500,43,14000,clothes_top,430000,37278,4.8,571,0.03255813953488372,49999.99999999999,winter
4349548,2024-12-03T20:00:00.000Z,제이엘브,심볼 로고 풋볼 저지,,8,22000,78,16000,clothes_top,190000,8320,4.9,918,0.08421052631578947,100000.00000000001,winter
4349548,2024-12-02T20:00:00.000Z,제이엘브,심볼 로고 풋볼 저지,,8,22000,78,15000,clothes_top,180000,8152,4.9,843,0.08333333333333333,100000.00000000001,winter
4349548,2024-12-04T20:00:00.000Z,제이엘브,심볼 로고 풋볼 저지,,8,22000,78,17000,clothes_top,200000,8556,4.9,970,0.085,100000.00000000001,winter
4480309,2024-12-03T20:00:00.000Z,라퍼지스토어,울 자카드 후드 더플 니트_3COLOR,,9,54000,45,7600,clothes_top,570000,46703,4.7,218,0.013333333333333334,98181.81818181818,winter
4421530,2024-12-04T20:00:00.000Z,디미트리블랙,에센셜 헤어리 라운드 니트_차콜 그레이,그레이 | 차콜,9,22900,58,9700,clothes_top,450000,18446,4.9,208,0.021555555555555557,54523.80952380952,winter
