ProductID,Date,Views,Likes,Rating,TotalSales
4473539,20241128,13000,4600,4.7,
4499606,20241128,5400,4600,5,
4621073,20241128,6900,18000,5,
4546849,20241128,30000,706,4.8,1200.0
4492575,20241128,3100,5800,5,
4496782,20241128,11000,1400,5,
4340243,20241128,6000,18000,5,
4530401,20241128,13000,1400,4.8,
4519359,20241128,1900,4600,,
4522463,20241128,4400,1400,5,
