ProductID,Date,Views,Likes,Rating,RatingCount,TotalSales
4270193,20241128,90000.0,18000,4.9,947.0,6500.0
4437931,20241128,9600.0,48,4.8,5.0,1400.0
4187469,20241128,50000.0,3700,4.9,3.0,13000.0
4268814,20241128,70000.0,13000,4.9,1.0,9700.0
4558266,20241128,30000.0,5000,4.7,6.0,3000.0
4187568,20241128,30000.0,3700,4.9,2.0,11000.0
4629918,20241128,11000.0,65000,5.0,7.0,
4564862,20241128,20000.0,42,4.8,71.0,1400.0
4199149,20241128,20000.0,28000,4.8,960.0,5000.0
4566395,20241128,10000.0,29000,4.9,43.0,1500.0
3992824,20241128,20000.0,24000,4.9,8.0,2900.0
4265741,20241128,30000.0,36000,4.1,2.0,19000.0
4533796,20241128,20000.0,48000,4.9,38.0,
4254208,20241128,30000.0,71000,4.8,418.0,2500.0
4615761,20241128,5700.0,3700,5.0,20.0,
4187268,20241128,9700.0,3700,4.9,724.0,3400.0
4314800,20241128,3300.0,18000,4.9,32.0,
4525980,20241128,20000.0,8900,4.9,196.0,1400.0
4291760,20241128,11000.0,27000,4.7,242.0,1600.0
4628632,20241128,1600.0,40,,,
4511946,20241128,70000.0,75000,4.9,164.0,2100.0
4540597,20241128,20000.0,28000,5.0,57.0,
4533799,20241128,13000.0,48000,4.9,32.0,
4515600,20241128,4500.0,38000,4.7,3.0,
4553347,20241128,3700.0,40,4.9,8.0,
4190892,20241128,10000.0,1100,4.8,197.0,
4349436,20241128,10000.0,24000,5.0,60.0,
4429958,20241128,1300.0,53000,4.8,53.0,
4265842,20241128,2200.0,34000,4.9,80.0,
4259545,20241128,4900.0,5400,4.9,484.0,1600.0
4262805,20241128,450.0,4900,4.6,28.0,
4201464,20241128,12000.0,56000,4.6,933.0,3600.0
4523684,20241128,750.0,10,5.0,2.0,
4621811,20241128,700.0,36000,5.0,1.0,
4255489,20241128,7500.0,2200,4.6,150.0,
4540350,20241128,250.0,3400,,,
4117083,20241128,8500.0,17000,4.9,702.0,2900.0
4541282,20241128,14000.0,52000,4.5,25.0,
4263133,20241128,17000.0,2200,4.7,670.0,3200.0
4566333,20241128,4400.0,6200,5.0,6.0,
4255053,20241128,,20,4.7,3.0,
4573684,20241128,2600.0,3700,5.0,2.0,
4227385,20241128,250.0,11000,5.0,4.0,
4259555,20241128,1800.0,5400,4.9,400.0,1000.0
4265275,20241128,200.0,605,5.0,3.0,
4238064,20241128,3100.0,48000,5.0,114.0,
4362460,20241128,4500.0,273,4.8,33.0,
4202987,20241128,950.0,31,4.9,51.0,
4352958,20241128,250.0,167,,,
4177529,20241128,6000.0,1700,4.8,265.0,1400.0
4362152,20241128,5100.0,273,4.9,27.0,
4212865,20241128,1000.0,14000,4.9,35.0,
4475630,20241128,4900.0,35000,5.0,19.0,
4387495,20241128,,8600,5.0,1.0,
4546501,20241128,8800.0,6400,4.9,85.0,
4580475,20241128,2700.0,28000,4.9,18.0,
4508731,20241128,1900.0,16000,4.8,5.0,
3431774,20241128,300.0,3900,,,
4031217,20241128,2500.0,60000,4.9,218.0,
4353166,20241128,500.0,167,,,
4265588,20241128,250.0,4900,4.7,6.0,
4307309,20241128,1700.0,14000,4.6,209.0,
4568833,20241128,11000.0,19000,5.0,24.0,
4207482,20241128,7500.0,47000,4.7,394.0,1600.0
4351928,20241128,300.0,167,,,
4537777,20241128,18000.0,69000,4.8,317.0,2300.0
4500418,20241128,450.0,24000,4.9,9.0,
4194459,20241128,,346,5.0,1.0,
4633343,20241128,4700.0,19000,5.0,5.0,
4563512,20241128,5300.0,12000,4.9,7.0,1000.0
4508655,20241128,2200.0,16000,5.0,3.0,
4246634,20241128,1200.0,5700,4.9,56.0,
4280679,20241128,20000.0,15000,4.8,299.0,2400.0
4446717,20241128,950.0,13000,5.0,4.0,
4421038,20241128,2700.0,49000,4.9,8.0,
4373514,20241128,500.0,22000,4.0,2.0,
4539987,20241128,12000.0,29000,4.8,60.0,
4573158,20241128,1600.0,38000,5.0,1.0,
4149536,20241128,8100.0,30000,4.7,260.0,1000.0
4206623,20241128,6200.0,3600,4.8,601.0,2000.0
4237378,20241128,,18000,5.0,1.0,
4304206,20241128,8500.0,44000,4.9,62.0,
4388016,20241128,12000.0,71000,4.8,126.0,
4621901,20241128,950.0,1900,5.0,2.0,
4277490,20241128,,23000,5.0,4.0,
4153116,20241128,15000.0,46000,4.9,647.0,3200.0
4270890,20241128,2900.0,38000,4.8,50.0,
4466410,20241128,1000.0,24000,4.8,14.0,
4573167,20241128,900.0,38000,,,
4502305,20241128,350.0,11000,4.5,10.0,
4461208,20241128,,18000,,,
4388018,20241128,40000.0,71000,4.7,197.0,1600.0
4471888,20241128,4700.0,13000,4.9,37.0,
4232339,20241128,5500.0,25000,4.9,92.0,
4425213,20241128,2800.0,13000,4.8,17.0,
4636459,20241128,100.0,14000,,,
4286229,20241128,,8100,,,
4469733,20241128,6000.0,17000,4.9,25.0,
4521746,20241128,100.0,4800,,,
4528036,20241128,300.0,6,3.0,1.0,
4566390,20241128,1300.0,29000,5.0,4.0,
4433057,20241128,2300.0,35,4.8,31.0,
4343576,20241128,2000.0,3700,4.9,68.0,
4580961,20241128,150.0,18000,,,
4187432,20241128,1000.0,3700,4.8,78.0,
4593830,20241128,500.0,85,,,
4250616,20241128,650.0,138,5.0,80.0,
4258194,20241128,700.0,5100,5.0,1.0,
4398599,20241128,200.0,27,,,
4591119,20241128,250.0,84,,,
4547303,20241128,1800.0,4700,4.6,14.0,
4328280,20241128,250.0,37000,4.8,12.0,
4230114,20241128,,12000,,,
4340149,20241128,300.0,37000,5.0,22.0,
4136398,20241128,1000.0,49000,4.7,104.0,
4557972,20241128,4500.0,17000,5.0,9.0,
4384981,20241128,150.0,113,4.7,6.0,
4307432,20241128,2300.0,14000,4.6,113.0,
4558679,20241128,5700.0,17000,4.2,5.0,
4511970,20241128,1200.0,70,5.0,3.0,
4221685,20241128,3900.0,12000,4.9,64.0,
4254242,20241128,650.0,59,4.7,15.0,
4257292,20241128,9900.0,8800,4.7,112.0,
4406250,20241128,300.0,16000,,,
4582422,20241128,450.0,40,5.0,4.0,
3687906,20241128,3300.0,12000,4.9,265.0,
4572524,20241128,650.0,208,,,
4270578,20241128,2000.0,6200,4.9,223.0,1700.0
4508719,20241128,7200.0,16000,5.0,24.0,
4268842,20241128,1200.0,53000,4.9,48.0,
4258463,20241128,550.0,5100,5.0,2.0,
4600268,20241128,1500.0,37000,4.0,4.0,
4581022,20241128,550.0,18000,5.0,2.0,
4573159,20241128,1100.0,38000,4.5,2.0,
4255305,20241128,100.0,19,,,
4558228,20241128,350.0,14000,,,
4442601,20241128,5700.0,13000,4.8,90.0,
4275806,20241128,8400.0,56000,4.7,1.0,5200.0
